index,D_0__Archaea,D_0__Bacteria,Name,host,host infra specific rank,watering regimen,root_compartment,soil_source,biological_replicate,host infra specific name
SRR5532663,99.0,38424.0,drght.73,Oryza glaberrima,TOg7102,Drought,Rhizosphere,Davis,2.0,indica
SRR5532664,12.0,21674.0,drght.72,Oryza sativa,M206,Watered,Endosphere,Biggs,2.0,japonica
SRR5532665,15.0,18229.0,drght.71,Oryza sativa,IR20,Watered,Endosphere,Biggs,2.0,indica
SRR5532666,192.0,33664.0,drght.78,Oryza glaberrima,Gl_CG14,Drought,Rhizosphere,Arbuckle,2.0,indica
SRR5532667,251.0,38800.0,drght.123,Oryza sativa,IR20,Watered,Rhizosphere,Davis,3.0,indica
SRR5532668,147.0,30345.0,drght.124,Oryza sativa,M206,Watered,Rhizosphere,Davis,3.0,japonica
SRR5532669,132.0,26872.0,drght.121,Oryza glaberrima,TOg7102,Watered,Rhizosphere,Davis,3.0,indica
SRR5532670,86.0,35073.0,drght.122,Oryza glaberrima,Gl_CG14,Watered,Rhizosphere,Davis,3.0,indica
SRR5532671,639.0,32955.0,drght.127,Oryza sativa,IR20,Watered,Rhizosphere,Arbuckle,3.0,indica
SRR5532672,287.0,38674.0,drght.128,Oryza sativa,M206,Watered,Rhizosphere,Arbuckle,3.0,japonica
SRR5532673,725.0,32154.0,drght.125,Oryza glaberrima,TOg7102,Watered,Rhizosphere,Arbuckle,3.0,indica
SRR5532674,368.0,37563.0,drght.126,Oryza glaberrima,Gl_CG14,Watered,Rhizosphere,Arbuckle,3.0,indica
SRR5532675,155.0,14898.0,drght.83,Oryza sativa,IR20,Drought,Rhizosphere,Biggs,2.0,indica
SRR5532676,90.0,9770.0,drght.84,Oryza sativa,M206,Drought,Rhizosphere,Biggs,2.0,japonica
SRR5532677,309.0,24097.0,drght.129,Oryza glaberrima,TOg7102,Watered,Rhizosphere,Biggs,3.0,indica
SRR5532678,208.0,20609.0,drght.130,Oryza glaberrima,Gl_CG14,Watered,Rhizosphere,Biggs,3.0,indica
SRR5532679,4.0,20207.0,drght.87,Oryza sativa,IR20,Drought,Endosphere,Davis,2.0,indica
SRR5532680,3.0,27540.0,drght.88,Oryza sativa,M206,Drought,Endosphere,Davis,2.0,japonica
SRR5532681,4.0,24437.0,drght.85,Oryza glaberrima,TOg7102,Drought,Endosphere,Davis,2.0,indica
SRR5532682,0.0,24489.0,drght.86,Oryza glaberrima,Gl_CG14,Drought,Endosphere,Davis,2.0,indica
