index,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Deferribacteres,D_0__Bacteria;D_1__Deinococcus-Thermus,D_0__Bacteria;D_1__Dependentiae,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Spirochaetes,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__WS2,D_0__Bacteria;__,Name,Collection,State,TimePoint
ERR2654461,399.0,803.0,0.0,87.0,114.0,6.0,0.0,0.0,0.0,0.0,11.0,153.0,8.0,34.0,9.0,0.0,13.0,802.0,26.0,0.0,532.0,0.0,164.0,C02B,September,drought,At the end of the drought
ERR2654476,456.0,1233.0,0.0,212.0,148.0,47.0,0.0,0.0,2.0,0.0,31.0,268.0,15.0,4.0,13.0,4.0,6.0,1055.0,24.0,0.0,506.0,0.0,183.0,C06B,September,control,At the end of the drought
ERR2654546,1339.0,3167.0,0.0,819.0,538.0,125.0,2.0,0.0,0.0,0.0,2.0,550.0,39.0,48.0,35.0,49.0,34.0,3346.0,53.0,0.0,1219.0,0.0,710.0,F01A,September,control,Before drought
ERR2654577,804.0,1686.0,0.0,470.0,268.0,12.0,2.0,0.0,7.0,5.0,12.0,265.0,23.0,30.0,29.0,9.0,21.0,1696.0,20.0,0.0,662.0,0.0,420.0,G01B,September,control,At the end of the drought
ERR2654397,1273.0,3032.0,2.0,847.0,417.0,62.0,3.0,0.0,5.0,2.0,53.0,558.0,59.0,37.0,26.0,21.0,75.0,3131.0,56.0,0.0,1558.0,0.0,577.0,A01D,September,control,2 months recovery
ERR2654614,880.0,2420.0,0.0,293.0,219.0,46.0,0.0,0.0,0.0,0.0,4.0,436.0,33.0,10.0,10.0,31.0,39.0,2179.0,57.0,0.0,1396.0,0.0,374.0,H03D,September,drought,2 months recovery
ERR2654605,1001.0,2789.0,0.0,685.0,371.0,256.0,0.0,2.0,0.0,4.0,2.0,459.0,32.0,18.0,14.0,36.0,37.0,3127.0,33.0,0.0,915.0,0.0,501.0,H01A,September,control,Before drought
ERR2654599,1008.0,2569.0,0.0,449.0,356.0,97.0,0.0,0.0,0.0,2.0,4.0,403.0,19.0,27.0,35.0,18.0,36.0,2281.0,50.0,0.0,1207.0,0.0,518.0,G08A,September,drought,Before drought
ERR2654465,991.0,1743.0,0.0,519.0,306.0,14.0,0.0,0.0,5.0,8.0,15.0,272.0,41.0,31.0,13.0,19.0,26.0,1697.0,53.0,3.0,1089.0,0.0,421.0,C03B,September,control,At the end of the drought
ERR2654502,877.0,1052.0,0.0,140.0,210.0,11.0,0.0,0.0,0.0,4.0,8.0,267.0,19.0,27.0,25.0,2.0,11.0,1379.0,60.0,0.0,1185.0,0.0,237.0,D05B,September,drought,At the end of the drought
