index,D_0__Archaea,D_0__Bacteria,Library_Name,SRA_Sample,env_biome,env_feature,env_material,host
SRR1524475,1.0,34233.0,GHRun1,SRS665143,Greenhouse Soil,Transported Soil in the Greenhouse,Endosphere,Oryza sativa
SRR1524476,91.0,31706.0,FieldRun1,SRS664992,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524477,160.0,92312.0,GHRun1,SRS665145,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizosphere,Oryza sativa
SRR1524478,108.0,36431.0,FieldRun1,SRS664995,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524479,28.0,23555.0,GHRun1,SRS665147,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizoplane,Oryza sativa
SRR1524480,56.0,25666.0,FieldRun1,SRS664996,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524481,6.0,30887.0,GHRun1,SRS665150,Greenhouse Soil,Transported Soil in the Greenhouse,Endosphere,Oryza sativa
SRR1524540,405.0,35133.0,FieldRun1,SRS664998,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524541,156.0,51823.0,GHRun1,SRS665152,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizosphere,Oryza sativa
SRR1524542,306.0,38099.0,FieldRun1,SRS665000,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524559,0.0,41877.0,GHRun1,SRS665154,Greenhouse Soil,Transported Soil in the Greenhouse,Endosphere,Oryza sativa
SRR1524560,102.0,48995.0,GHRun1,SRS665156,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizosphere,Oryza sativa
SRR1524561,44.0,32621.0,GHRun1,SRS665158,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizoplane,Oryza sativa
SRR1524562,330.0,34134.0,FieldRun1,SRS665001,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524563,4.0,27545.0,GHRun1,SRS665160,Greenhouse Soil,Transported Soil in the Greenhouse,Endosphere,Oryza sativa
SRR1524564,218.0,41185.0,FieldRun1,SRS665002,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524565,161.0,30669.0,GHRun1,SRS665163,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizosphere,Oryza sativa
SRR1524566,142.0,28938.0,FieldRun1,SRS665004,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524567,34.0,26331.0,FieldRun1,SRS665005,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524568,74.0,33681.0,GHRun1,SRS665165,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizoplane,Oryza sativa
SRR1524569,505.0,35578.0,FieldRun1,SRS665007,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524570,5.0,45494.0,GHRun1,SRS665168,Greenhouse Soil,Transported Soil in the Greenhouse,Endosphere,Oryza sativa
SRR1524571,263.0,26264.0,FieldRun1,SRS665009,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524572,69.0,34665.0,GHRun1,SRS665170,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizoplane,Oryza sativa
SRR1524573,221.0,37694.0,FieldRun1,SRS665010,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524574,10.0,40633.0,GHRun1,SRS665173,Greenhouse Soil,Transported Soil in the Greenhouse,Endosphere,Oryza sativa
SRR1524575,289.0,37120.0,FieldRun1,SRS665012,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524576,180.0,22963.0,FieldRun1,SRS665014,Rice Paddy,Rice Paddy,Rhizoplane,Rice
